Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	66b73729-d719-4aba-a41b-e4b834cf5cf8
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation20

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Nuclei Selected - Number of Objects	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
4	7	8	4	376	59	10	2.5	3605.027	0	37	0	5					
4	8	1	4	110	18	10	-1	3603.433	0	37	0	5					
4	8	2	4	109	10	10	-0.5	3603.433	0	37	0	5					
4	8	3	4	118	14	10	0	3603.433	0	37	0	5					
4	8	4	4	120	6	10	0.50000000000000011	3603.433	0	37	0	5					
4	8	5	4	116	7	10	1	3603.433	0	37	0	5					
4	8	6	4	119	7	10	1.4999999999999998	3603.433	0	37	0	5					
4	8	7	4	123	12	10	2.0000000000000004	3603.433	0	37	0	5					
4	8	8	4	120	13	10	2.5	3603.433	0	37	0	5					
4	5	1	5	406	72	10	-1	4500.95	0	37	0	5					
4	5	2	5	434	59	10	-0.5	4500.95	0	37	0	5					
4	5	3	5	447	63	10	0	4500.95	0	37	0	5					
4	5	4	5	451	57	10	0.50000000000000011	4500.95	0	37	0	5					
4	5	5	5	443	42	10	1	4500.95	0	37	0	5					
4	5	6	5	432	45	10	1.4999999999999998	4500.95	0	37	0	5					
4	5	7	5	437	76	10	2.0000000000000004	4500.95	0	37	0	5					
4	5	8	5	430	86	10	2.5	4500.95	0	37	0	5					
4	6	1	5	476	74	10	-1	4498.86	0	37	0	5					
4	6	2	5	503	76	10	-0.5	4498.86	0	37	0	5					
4	6	3	5	515	53	10	0	4498.86	0	37	0	5					
4	6	4	5	522	45	10	0.50000000000000011	4498.86	0	37	0	5					
4	6	5	5	522	38	10	1	4498.86	0	37	0	5					
4	6	6	5	538	51	10	1.4999999999999998	4498.86	0	37	0	5					
4	6	7	5	536	70	10	2.0000000000000004	4498.86	0	37	0	5					
4	6	8	5	528	91	10	2.5	4498.86	0	37	0	5					
4	7	1	5	372	67	10	-1	4498.923	0	37	0	5					
4	7	2	5	402	72	10	-0.5	4498.923	0	37	0	5					
4	7	3	5	403	55	10	0	4498.923	0	37	0	5					
4	7	4	5	411	48	10	0.50000000000000011	4498.923	0	37	0	5					
4	7	5	5	396	47	10	1	4498.923	0	37	0	5					
4	7	6	5	378	43	10	1.4999999999999998	4498.923	0	37	0	5					
4	7	7	5	396	56	10	2.0000000000000004	4498.923	0	37	0	5					
4	7	8	5	378	76	10	2.5	4498.923	0	37	0	5					
4	8	1	5	107	19	10	-1	4497.236	0	37	0	5					
4	8	2	5	106	10	10	-0.5	4497.236	0	37	0	5					
4	8	3	5	123	15	10	0	4497.236	0	37	0	5					
4	8	4	5	112	8	10	0.50000000000000011	4497.236	0	37	0	5					
4	8	5	5	117	7	10	1	4497.236	0	37	0	5					
4	8	6	5	119	6	10	1.4999999999999998	4497.236	0	37	0	5					
4	8	7	5	120	7	10	2.0000000000000004	4497.236	0	37	0	5					
4	8	8	5	121	10	10	2.5	4497.236	0	37	0	5					
4	5	1	6	423	81	10	-1	5401.37	0	37	0	5					
4	5	2	6	409	48	10	-0.5	5401.37	0	37	0	5					
4	5	3	6	441	58	10	0	5401.37	0	37	0	5					
4	5	4	6	441	53	10	0.50000000000000011	5401.37	0	37	0	5					
4	5	5	6	433	43	10	1	5401.37	0	37	0	5					
4	5	6	6	439	50	10	1.4999999999999998	5401.37	0	37	0	5					
4	5	7	6	433	66	10	2.0000000000000004	5401.37	0	37	0	5					
4	5	8	6	428	91	10	2.5	5401.37	0	37	0	5					
4	6	1	6	495	88	10	-1	5399.23	0	37	0	5					
4	6	2	6	520	60	10	-0.5	5399.23	0	37	0	5					
4	6	3	6	519	58	10	0	5399.23	0	37	0	5					
4	6	4	6	532	43	10	0.50000000000000011	5399.23	0	37	0	5					
4	6	5	6	523	43	10	1	5399.23	0	37	0	5					
4	6	6	6	540	52	10	1.4999999999999998	5399.23	0	37	0	5					
4	6	7	6	539	86	10	2.0000000000000004	5399.23	0	37	0	5					
4	6	8	6	524	129	10	2.5	5399.23	0	37	0	5					
4	7	1	6	372	83	10	-1	5398.717	0	37	0	5					
4	7	2	6	381	76	10	-0.5	5398.717	0	37	0	5					
4	7	3	6	386	65	10	0	5398.717	0	37	0	5					
4	7	4	6	394	53	10	0.50000000000000011	5398.717	0	37	0	5					
4	7	5	6	382	45	10	1	5398.717	0	37	0	5					
4	7	6	6	379	38	10	1.4999999999999998	5398.717	0	37	0	5					
4	7	7	6	367	48	10	2.0000000000000004	5398.717	0	37	0	5					
4	7	8	6	372	70	10	2.5	5398.717	0	37	0	5					
4	8	1	6	107	17	10	-1	5397.11	0	37	0	5					
4	8	2	6	111	14	10	-0.5	5397.11	0	37	0	5					
4	8	3	6	113	13	10	0	5397.11	0	37	0	5					
4	8	4	6	111	9	10	0.50000000000000011	5397.11	0	37	0	5					
4	8	5	6	111	7	10	1	5397.11	0	37	0	5					
4	8	6	6	118	7	10	1.4999999999999998	5397.11	0	37	0	5					
4	8	7	6	120	8	10	2.0000000000000004	5397.11	0	37	0	5					
4	8	8	6	119	13	10	2.5	5397.11	0	37	0	5					
