,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
914,4,5,6,52,3,1,1364,486,"[1356,480,1371,492]",-281.0,733.41,0.100937,113.852,1362,0.146414,1014.11,142,507.699,2.22171,3,7,1,266,46,68
916,4,5,6,52,3,3,1385,499,"[1380,494,1392,508]",-277.68,731.32,0.070276,67.6493,1120,0.111677,894.974,122,507.699,1.89605,3,11,1,0,69,0
920,4,5,9,6,4,2,1856,519,"[1853,517,1859,529]",114.7,728.05,0.0471293,274.938,7110,0.122447,5558.75,64,3393.21,1.71922,2,7,1,0,69,0
931,4,5,7,40,3,2,1370,503,"[1364,500,1374,509]",-280.21,730.7,0.0509566,54.8961,1201,0.0803207,1022.41,71,655.528,1.64342,2,9,1,0,69,0
932,4,5,7,40,3,3,1417,517,"[1412,510,1422,523]",-273.05,728.96,0.0593349,63.2431,1214,0.0953589,1002.63,91,655.528,1.62597,2,10,1,267,1,71
933,4,5,4,17,5,1,139,448,"[137,446,144,451]",184.2,739.08,0.0936159,120.882,1589,0.151713,1170.37,40,1609.73,0.802153,1,16,1,0,69,0
935,4,5,9,58,5,1,47,2053,"[43,2049,51,2057]",170.39,501.99,0.0502054248653,58.9314516129,1316,0.0827376973312,1114.875,62,879.336472217,1.33487747717,4,10,1,182,1,37
945,4,5,8,41,3,1,1353,514,"[1347,502,1360,523]",-282.44,729.5,0.0561711,64.4938,1353,0.11053,1083.67,155,714.967,1.6059,2,9,1,196,2,33
949,4,5,4,49,3,1,1331,481,"[1327,477,1338,487]",-285.58,734.15,0.0795751,63.6739,907,0.103742,736.5,92,498.371,1.60558,3,8,1,266,46,68
959,4,5,8,49,3,1,1368,491,"[1362,485,1373,502]",-280.29,732.45,0.0548467,88.4456,1826,0.0901004,1524.15,136,674.116,2.39216,3,5,1,271,1,47
960,4,5,8,49,3,2,1321,518,"[1317,512,1325,526]",-287.23,728.62,0.0438432,60.5208,1568,0.0859211,1319.87,97,674.116,2.04771,3,13,1,224,1,47
974,4,5,4,31,6,1,1856,323,"[1854,322,1857,326]",437.54,434.53,0.209040590406,141.625,1557,0.487905393299,535.875,10,304.33329557,2.22617771325,1,2,1,0,69,0
983,4,5,9,46,3,1,1354,497,"[1349,491,1364,503]",-282.13,731.71,0.0366042,50.8408,1583,0.0838409,1338.09,136,667.541,2.08067,2,11,1,0,69,0
984,4,5,9,46,3,2,1344,511,"[1341,508,1348,516]",-283.75,729.69,0.0438981,53.3534,1408,0.0957028,1162.04,61,667.541,1.8207,2,13,1,0,69,0
985,4,5,9,46,3,3,1353,531,"[1350,528,1360,535]",-282.2,726.83,0.0516216,50.7112,1126,0.0944504,931.654,63,667.541,1.47162,2,17,1,220,1,64
991,4,5,9,32,5,1,143,491,"[139,487,149,495]",184.74,732.68,0.0403240905862,160.023361823,4470,0.0799178585969,3808.40740741,65,2944.72656506,1.34763981699,1,2,1,0,69,0
1000,4,5,5,7,4,4,1820,519,"[1817,516,1824,524]",109.45,728.53,0.0743845,143.805,2321,0.129314,1789.46,57,1859.65,1.03958,2,44,1,259,8,75
1003,4,5,8,56,3,1,1358,505,"[1353,501,1363,511]",-281.71,730.53,0.0532674,53.6815,1172,0.102491,954.094,89,556.558,1.81073,3,7,1,69,1,24
1004,4,5,8,56,3,2,1372,503,"[1364,498,1382,509]",-279.55,730.88,0.0864018,102.715,1528,0.169048,1086.09,146,556.558,2.136,3,8,1,266,46,68
1005,4,5,8,56,3,3,1394,521,"[1387,509,1400,532]",-276.54,728.2,0.0675955,76.3,1425,0.150365,1052.47,190,556.558,2.02813,3,12,1,242,14,54
1024,4,5,9,55,3,1,1390,517,"[1383,509,1397,530]",-277.06,728.62,0.0654616,108.447,1969,0.119639,1548.2,189,669.073,2.47604,4,6,1,242,14,54
1027,4,5,9,55,3,4,1350,557,"[1345,554,1356,561]",-282.76,722.91,0.0613955,71.0709,1415,0.131312,1086.52,66,669.073,1.73014,4,12,1,0,69,0
1033,4,5,8,51,3,3,1384,492,"[1376,485,1391,499]",-277.96,732.45,0.0539438,79.3908,1783,0.123029,1392.34,164,650.486,2.26251,4,7,1,0,69,0
1040,4,5,6,41,3,3,1415,503,"[1411,500,1419,511]",-273.27,730.66,0.0478702,50.5391,1257,0.111301,1005.21,73,664.56,1.58865,2,9,1,128,2,72
1053,4,5,5,1,3,4,450,1495,"[446,1491,462,1505]",-415.39,584.05,0.0666882,126.317,2344,0.140128,1767.82,124,1817.63,1.04209,5,102,1,0,69,0
1056,4,5,8,54,3,1,1367,493,"[1359,489,1374,502]",-280.31,732.2,0.0645326,89.972,1757,0.147902,1304.24,119,638.2,2.1846,3,4,1,266,46,68
1058,4,5,8,54,3,3,1388,512,"[1383,507,1393,521]",-277.32,729.33,0.0392173,54.4138,1732,0.13015,1333.08,97,638.2,2.17408,3,8,1,242,14,54
1063,4,5,6,3,2,1,1167,634,"[1160,628,1176,641]",-632.86,711.5,0.0893943,275.009,3689,0.136765,2801.35,156,2972.8,1.03483,1,13,1,190,1,60
1075,4,5,7,60,11,1,1740,1600,"[1734,1595,1747,1607]",-548.19,-399.86,0.110738444421,100.992647059,1126,0.162622612287,811.0,136,766.108727427,1.19042195241,12,18,1,207,3,27
1089,4,5,2,4,2,1,1476,731,"[1470,726,1485,737]",-587.1,697.24,0.116448363121,100.58444619,1077,0.170534986486,763.184210526,134,591.399013428,1.46055139948,6,24,1,0,69,0
1103,4,5,6,17,3,2,1414,445,"[1407,439,1420,451]",-273.52,739.57,0.0941214,145.851,1886,0.146589,1403.76,125,809.408,1.91449,3,17,1,261,2,82
1105,4,5,6,17,3,4,1408,455,"[1403,449,1414,462]",-274.28,737.93,0.0535221,81.3364,1704,0.0845411,1438.34,106,809.408,1.87752,3,20,1,225,3,81
1117,4,5,5,0,3,3,468,1505,"[461,1500,475,1511]",-413.2,582.84,0.0868372,172.97,2403,0.138346,1818.91,112,1766.73,1.12744,3,121,1,2,1,2
1129,4,5,6,37,3,1,1855,323,"[1854,322,1856,325]",-208.35,757.54,0.128210390524,109.325,1850,0.426712295754,743.375,10,451.784908887,1.88740257416,1,2,1,253,1,76
1131,4,5,5,6,4,1,1840,485,"[1833,482,1843,490]",112.09,733.43,0.0707296,213.661,3732,0.141433,2807.15,68,2411.65,1.25259,2,23,1,0,69,0
1133,4,5,5,6,4,3,1946,516,"[1942,512,1955,520]",128.34,729.07,0.218867,991.309,6345,0.284027,3537.97,104,2411.65,1.87808,2,40,1,0,69,0
1134,4,5,5,6,4,4,1861,525,"[1854,518,1865,529]",115.26,727.96,0.100093,334.64,4124,0.156372,3008.66,78,2411.65,1.38631,2,43,1,184,2,53
1135,4,5,5,6,4,5,1821,529,"[1818,525,1826,535]",109.68,726.98,0.0837207,212.736,3104,0.142798,2328.28,64,2411.65,1.05364,2,45,1,259,8,75
1136,4,5,5,6,4,6,1879,529,"[1874,526,1883,536]",118.09,726.83,0.0392524,123.593,3576,0.08346,3025.07,69,2411.65,1.30561,2,46,1,0,69,0
1139,4,5,8,14,3,2,1384,448,"[1379,445,1387,455]",-278.07,738.75,0.0835295,87.7568,1269,0.137172,962.852,69,853.97,1.23026,1,5,1,275,14,81
