Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	dd183952-9029-4716-8ead-c19b6d1d375f
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation25

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Clustered Nuclei w/o Border Round - Number of Objects	Clustered Nuclei w/o Border - Number of Objects	Spots AR - Number of Objects	coloc AR - Number of Objects	coloc AR - Relative Spot  Intensity - Mean per Well	coloc AR - Corrected Spot  Intensity - Mean per Well	coloc AR - Uncorrected Spot  Peak Intensity - Mean per Well	coloc AR - Spot Contrast - Mean per Well	coloc AR - Spot Background Intensity - Mean per Well	coloc AR - Spot Area [px²] - Mean per Well	coloc AR - Region Intensity - Mean per Well	coloc AR - Spot To Region Intensity - Mean per Well	Clustered Nuclei w/o Border Round Selected - Number of Objects	coloc PCNA - Number of Objects	coloc PCNA - Relative Spot Intensity - Mean per Well	coloc PCNA - Corrected Spot Intensity - Mean per Well	coloc PCNA - Uncorrected Spot Peak Intensity - Mean per Well	coloc PCNA - Spot Contrast - Mean per Well	coloc PCNA - Spot Background Intensity - Mean per Well	coloc PCNA - Spot Area [px²] - Mean per Well	coloc PCNA - Region Intensity - Mean per Well	coloc PCNA - Spot to Region Intensity - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
4	6	3	0	491	309	336	807	17	0.0367705858851	22.509609495	606	0.0782118291711	511.308816192	51	481.353694575	1.10475903104	41	11	0.0923456631062	359.87483955	4641.72727273	0.17576885849	3051.67227772	75.4545454545	3653.25546373	0.96631908847	10	0	0	-1	37	0	5					
4	6	4	0	499	307	339	520	13	0.0361052999858	23.4128229491	739.615384615	0.080559111597	625.774897407	55.9230769231	626.35119202	1.05334942632	30	7	0.09865832595	577.368486804	7506.28571429	0.180433033692	5116.22974301	71.8571428571	6154.99795918	0.996951355611	10	0.50000000000000011	0	-1	37	0	5					
4	6	5	0	510	305	341	364	8	0.0307304491736	27.5009421544	1021.625	0.0781291734281	872.225867499	59.5	838.555430025	1.07248177472	28	7	0.137963920121	735.268310823	9623.14285714	0.270951382405	5906.44071807	74.1428571429	7600.29285714	0.878604895695	10	1	0	-1	37	0	5					
4	6	6	0	509	313	341	308	5	0.0280254107003	25.0622757782	991.4	0.0679435275736	859.376863877	49.6	913.402726467	0.958476418908	38	6	0.165150012467	1064.8929486	11318.8333333	0.295609104677	6399.77645503	72.8333333333	7740.36666667	0.995983769805	10	1.4999999999999998	0	-1	37	0	5					
4	6	7	0	503	300	337	138	3	0.0500295952633	45.7418475954	1031	0.100273943474	838.815837279	101.666666667	884.169346195	1.00043921301	29	5	0.109856924218	577.303776679	7316.8	0.211850966515	4719.49285714	70.2	5148.40833333	1.04813497724	10	2.0000000000000004	0	-1	37	0	5					
4	6	8	0	489	296	330	127	3	0.0266509579924	25.1248015083	1075.66666667	0.0782028205089	919.39383726	81.6666666667	830.593318849	1.13976290107	49	3	0.0676301657047	422.195987308	7616.66666667	0.144382490698	5705.56415344	70	6116.62962963	0.987927178704	10	2.5	0	-1	37	0	5					
4	7	1	0	363	213	255	154	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	-1	0	-1	37	0	5					
4	7	2	0	367	213	254	132	1	0.0260618807051	7.85620915033	341	0.0747126436782	293.588235294	27	303.987579214	0.991634083286	40	1	0.0652041147118	92.3258196721	1659	0.112442898454	1323.625	61	1101.88888889	1.28502141545	10	-0.5	0	-1	37	0	5					
4	7	3	0	371	217	260	103	3	0.0576903585264	26.6962411636	557.333333333	0.118956024873	437.698268921	91	374.828838985	1.35528280241	33	2	0.138217777891	864.718474427	8691.5	0.220216649879	5887.73214286	81	2758.7173913	2.62061448026	10	0	0	-1	37	0	5					
4	7	4	0	364	211	258	88	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	0.50000000000000011	0	-1	37	0	5					
