Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	8fd0304e-39d0-4a3d-ab98-c9ca25b4879e
Plate Name	220616 ar jfx646 pcna mscarlet PACE GJK
Measurement	Measurement 1
Evaluation	Evaluation4

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Nuclei Selected - Number of Objects	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
3	9	1	3	199	24	11	-2	2704.403	0	37	0	5					
3	9	2	3	213	28	11	-1.5	2704.403	0	37	0	5					
3	9	3	3	225	33	11	-1	2704.403	0	37	0	5					
3	9	4	3	221	26	11	-0.49999999999999989	2704.403	0	37	0	5					
3	9	5	3	228	27	11	0	2704.403	0	37	0	5					
3	9	6	3	220	42	11	0.49999999999999989	2704.403	0	37	0	5					
3	9	7	3														
3	9	8	3														
3	9	9	3														
3	4	1	4	242	39	11	-2	3601.3599999999997	0	37	0	5					
3	4	2	4	240	37	11	-1.5	3601.3599999999997	0	37	0	5					
3	4	3	4	257	46	11	-1	3601.3599999999997	0	37	0	5					
3	4	4	4	251	37	11	-0.49999999999999989	3601.3599999999997	0	37	0	5					
3	4	5	4	256	52	11	0	3601.3599999999997	0	37	0	5					
3	4	6	4	278	50	11	0.49999999999999989	3601.3599999999997	0	37	0	5					
3	4	7	4	261	41	11	1.0000000000000002	3601.3599999999997	0	37	0	5					
3	4	8	4	270	48	11	1.5	3601.3599999999997	0	37	0	5					
3	4	9	4	255	41	11	2	3601.3599999999997	0	37	0	5					
3	6	1	4	249	48	11	-2	3600.69	0	37	0	5					
3	6	2	4	256	41	11	-1.5	3600.69	0	37	0	5					
3	6	3	4	273	54	11	-1	3600.69	0	37	0	5					
3	6	4	4	285	49	11	-0.49999999999999989	3600.69	0	37	0	5					
3	6	5	4	294	46	11	0	3600.69	0	37	0	5					
3	6	6	4	315	69	11	0.49999999999999989	3600.69	0	37	0	5					
3	6	7	4	328	70	11	1.0000000000000002	3600.69	0	37	0	5					
3	6	8	4	320	58	11	1.5	3600.69	0	37	0	5					
3	6	9	4	321	79	11	2	3600.69	0	37	0	5					
3	8	1	4	174	18	11	-2	3601.0159999999996	0	37	0	5					
3	8	2	4	178	22	11	-1.5	3601.0159999999996	0	37	0	5					
3	8	3	4	188	25	11	-1	3601.0159999999996	0	37	0	5					
3	8	4	4	203	31	11	-0.49999999999999989	3601.0159999999996	0	37	0	5					
3	8	5	4	200	33	11	0	3601.0159999999996	0	37	0	5					
3	8	6	4	198	29	11	0.49999999999999989	3601.0159999999996	0	37	0	5					
3	8	7	4	195	31	11	1.0000000000000002	3601.0159999999996	0	37	0	5					
3	8	8	4	191	34	11	1.5	3601.0159999999996	0	37	0	5					
3	8	9	4	184	26	11	2	3601.0159999999996	0	37	0	5					
3	9	1	4	204	17	11	-2	3599.16	0	37	0	5					
3	9	2	4	215	32	11	-1.5	3599.16	0	37	0	5					
3	9	3	4	212	25	11	-1	3599.16	0	37	0	5					
3	9	4	4	215	30	11	-0.49999999999999989	3599.16	0	37	0	5					
3	9	5	4	224	29	11	0	3599.16	0	37	0	5					
3	9	6	4	231	41	11	0.49999999999999989	3599.16	0	37	0	5					
3	9	7	4														
3	9	8	4														
3	9	9	4														
3	4	1	5	237	38	11	-2	4501.807	0	37	0	5					
3	4	2	5	249	36	11	-1.5	4501.807	0	37	0	5					
3	4	3	5	253	44	11	-1	4501.807	0	37	0	5					
3	4	4	5	252	44	11	-0.49999999999999989	4501.807	0	37	0	5					
3	4	5	5	267	50	11	0	4501.807	0	37	0	5					
3	4	6	5	257	50	11	0.49999999999999989	4501.807	0	37	0	5					
3	4	7	5	258	43	11	1.0000000000000002	4501.807	0	37	0	5					
3	4	8	5	261	49	11	1.5	4501.807	0	37	0	5					
3	4	9	5	253	42	11	2	4501.807	0	37	0	5					
3	6	1	5	225	39	11	-2	4501.937	0	37	0	5					
3	6	2	5	252	47	11	-1.5	4501.937	0	37	0	5					
3	6	3	5	282	44	11	-1	4501.937	0	37	0	5					
3	6	4	5	306	44	11	-0.49999999999999989	4501.937	0	37	0	5					
3	6	5	5	307	55	11	0	4501.937	0	37	0	5					
3	6	6	5	304	63	11	0.49999999999999989	4501.937	0	37	0	5					
3	6	7	5	305	64	11	1.0000000000000002	4501.937	0	37	0	5					
3	6	8	5	309	67	11	1.5	4501.937	0	37	0	5					
3	6	9	5	300	53	11	2	4501.937	0	37	0	5					
3	8	1	5	175	21	11	-2	4501.793	0	37	0	5					
3	8	2	5	187	22	11	-1.5	4501.793	0	37	0	5					
3	8	3	5	189	27	11	-1	4501.793	0	37	0	5					
3	8	4	5	199	34	11	-0.49999999999999989	4501.793	0	37	0	5					
3	8	5	5	195	39	11	0	4501.793	0	37	0	5					
3	8	6	5	197	33	11	0.49999999999999989	4501.793	0	37	0	5					
3	8	7	5	196	34	11	1.0000000000000002	4501.793	0	37	0	5					
3	8	8	5	190	32	11	1.5	4501.793	0	37	0	5					
