,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
5621,4,8,6,52,4,1,1369,1207,"[1365,1204,1375,1211]",688.65,-987.64,0.032539624213,46.4440559441,1724,0.110515759732,1380.86363636,52,1136.45502307,1.25592976698,9,5,1,114,6,14
5625,4,8,3,58,5,1,1569,924,"[1566,920,1575,930]",-250.37,-945.9,0.0380450804269,31.0319088319,915,0.0767051645239,784.62962963,65,591.034131281,1.38005826617,5,8,1,0,47,0
5632,4,8,4,52,1,1,1198,114,"[1193,110,1203,119]",-305.45,-180.23,0.0368219793009,23.9432432432,737,0.0812000293406,626.3,74,617.334911497,1.05330709657,1,4,1,0,47,0
5634,4,8,1,49,4,1,1411,1282,"[1408,1278,1417,1287]",695.0,-998.74,0.0790396435791,87.5885714286,1297,0.119275103248,1020.57142857,75,807.934330299,1.37159662418,10,20,1,102,19,24
5635,4,8,5,52,4,1,1368,1208,"[1363,1201,1378,1217]",688.83,-987.93,0.0954889,132.503,1702,0.151117,1255.13,168,1142.35,1.21472,10,4,1,114,6,14
5636,4,8,5,52,4,2,1409,1277,"[1406,1274,1415,1287]",694.9,-998.19,0.0322402,49.7695,1759,0.0814834,1493.94,79,1142.35,1.35134,10,7,1,102,19,24
5637,4,8,2,46,5,1,943,136,"[938,130,949,142]",-343.05,-829.31,0.238205853355,2572.03636364,15136,0.295807204161,8225.5,110,5467.11553462,1.97499692393,1,22,1,0,47,0
5648,4,8,1,50,4,4,1410,1286,"[1405,1282,1415,1293]",694.66,-999.47,0.115463,123.086,1338,0.173203,942.935,94,724.313,1.47177,11,26,1,102,19,24
5653,4,8,2,51,4,1,1409,1287,"[1404,1282,1414,1293]",694.53,-999.45,0.14042581016,182.022137887,1706,0.209846041223,1114.19354839,102,878.134757774,1.47610110498,11,17,1,102,19,24
5655,4,8,6,30,5,1,935,115,"[929,109,942,124]",-344.29,-826.29,0.113111127784,519.588690476,5688,0.165332130096,4074.02380952,160,2865.44788087,1.60310453757,1,4,1,0,47,0
